base_id,condition,hop_depth,error_type,final_correct,final_absurd,max_probe_score,mean_probe_score,fired_at_least_once,n_interventions
3hop_compound_rate_0002,branch_and_pick,3,wrong_unit,False,False,0.9996801791799388,0.6651991863515742,True,2
2hop_counting_0021,baseline,2,wrong_operator,False,False,0.9999743672969592,0.5000352499301136,True,0
2hop_counting_0021,reprompt,2,wrong_operator,False,False,0.9999743672969592,0.5000352499301136,True,1
2hop_counting_0021,replace_prior,2,wrong_operator,False,False,9.613256326812747e-05,5.92243073982815e-05,False,1
2hop_counting_0021,branch_and_pick,2,wrong_operator,False,False,0.9999970083875642,0.5000465704754162,True,1
4hop_multi_stage_allocation_0009,baseline,4,wrong_percentage_base,False,False,0.9999985037066323,0.7516024976552491,True,0
4hop_multi_stage_allocation_0009,reprompt,4,wrong_percentage_base,False,False,0.9999985037066323,0.7516024976552491,True,3
4hop_multi_stage_allocation_0009,replace_prior,4,wrong_percentage_base,False,False,0.0078633772227959,0.0029499087892216,False,1
4hop_multi_stage_allocation_0009,branch_and_pick,4,wrong_percentage_base,False,False,0.9999978364669208,0.7519226828881445,True,3
2hop_fractions_0036,baseline,2,wrong_operator,False,True,0.9965829059725104,0.5001171085762481,True,0
2hop_fractions_0036,reprompt,2,wrong_operator,False,True,0.9965829059725104,0.5001171085762481,True,1
2hop_fractions_0036,replace_prior,2,wrong_operator,False,False,0.0036513111799856,0.0036396763044463,False,1
2hop_fractions_0036,branch_and_pick,2,wrong_operator,False,True,0.9924331993898312,0.4980422552849084,True,1
4hop_nested_fractions_0006,baseline,4,wrong_operator,True,False,0.9999997412650724,0.8290027579254649,True,0
4hop_nested_fractions_0006,reprompt,4,wrong_operator,False,False,0.9999997412650724,0.8290027579254649,True,3
4hop_nested_fractions_0006,replace_prior,4,wrong_operator,False,False,0.3160140423110805,0.0908526166819682,False,1
4hop_nested_fractions_0006,branch_and_pick,4,wrong_operator,False,False,0.99999997834877,0.8290017603828923,True,3
3hop_multi_stage_geometry_0005,baseline,3,off_by_one,False,False,0.9821979199875558,0.7397095508626851,True,0
3hop_multi_stage_geometry_0005,reprompt,3,off_by_one,False,False,0.9821979199875558,0.7397095508626851,True,2
3hop_multi_stage_geometry_0005,replace_prior,3,off_by_one,False,False,0.9821979199875558,0.7427538819078813,True,1
3hop_multi_stage_geometry_0005,branch_and_pick,3,off_by_one,False,False,0.946854846167374,0.5955303360667944,False,2
3hop_multi_stage_geometry_0027,baseline,3,wrong_unit,False,False,0.9999954634846114,0.7385371600590876,True,0
3hop_multi_stage_geometry_0027,reprompt,3,wrong_unit,False,False,0.9999954634846114,0.7385371600590876,True,2
3hop_multi_stage_geometry_0027,replace_prior,3,wrong_unit,False,False,0.2902882447805691,0.1712828590357196,False,1
3hop_multi_stage_geometry_0027,branch_and_pick,3,wrong_unit,False,False,0.9999304820092692,0.7386056200204792,True,2
3hop_percentage_chain_0001,baseline,3,wrong_operator,False,False,0.999999999658395,0.6667210640431342,True,0
3hop_percentage_chain_0001,reprompt,3,wrong_operator,False,False,0.999999999658395,0.6667210640431342,True,2
3hop_percentage_chain_0001,replace_prior,3,wrong_operator,False,False,0.0035731919599926,0.0022252797259682,False,1
3hop_percentage_chain_0001,branch_and_pick,3,wrong_operator,False,False,0.9999999994930298,0.6667390830680309,True,2
4hop_compound_interest_0011,baseline,4,wrong_operator,False,False,0.999999999995469,0.749970208473002,True,0
4hop_compound_interest_0011,reprompt,4,wrong_operator,False,False,0.999999999995469,0.749970208473002,True,3
4hop_compound_interest_0011,replace_prior,4,wrong_operator,False,False,0.9963137643529087,0.5139436291753938,True,3
